LeetCode #,Title,Difficulty,Acceptance %,Topics,Primary / Representative Algorithm,Optimal Time Complexity,Notes
217,Contains Duplicate,Easy,64.3%,"Array, Hash Table, Sorting",Hash Set,O(n),
242,Valid Anagram,Easy,68.0%,"Hash Table, String, Sorting",Frequency Counting,O(n),
1,Two Sum,Easy,57.4%,"Array, Hash Table",Hash Map,O(n),
49,Group Anagrams,Medium,72.5%,"Array, Hash Table, String, Sorting",Frequency Counting,O(nm),
347,Top K Frequent Elements,Medium,66.3%,"Array, Hash Table, Divide and Conquer, Sorting, Heap, Bucket Sort, Counting, Quickselect",Bucket Sort,O(n),
271,Encode and Decode Strings,Medium,51.5%,"Array, String, Design",String Encoding,O(n),
238,Product of Array Except Self,Medium,68.8%,"Array, Prefix Sum",Prefix/Suffix Products,O(n),
36,Valid Sudoku,Medium,64.4%,"Array, Hash Table, Matrix",Bitmasking,O(n^2),
128,Longest Consecutive Sequence,Medium,47.1%,"Array, Hash Table, Union Find",Hash Set,O(n),
125,Valid Palindrome,Easy,53.2%,"Two Pointers, String",Two Pointers,O(n),
167,Two Sum II - Input Array Is Sorted,Medium,65.0%,"Array, Two Pointers, Binary Search",Two Pointers,O(n),
15,3Sum,Medium,39.0%,"Array, Two Pointers, Sorting",Two Pointers,O(n^2),
11,Container With Most Water,Medium,59.9%,"Array, Two Pointers, Greedy",Two Pointers,O(n),
42,Trapping Rain Water,Hard,67.2%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",Two Pointers,O(n),
121,Best Time to Buy and Sell Stock,Easy,56.7%,"Array, Dynamic Programming",Greedy,O(n),
3,Longest Substring Without Repeating Characters,Medium,38.9%,"Hash Table, String, Sliding Window",Sliding Window,O(n),
424,Longest Repeating Character Replacement,Medium,59.5%,"Hash Table, String, Sliding Window",Sliding Window,O(n),
567,Permutation in String,Medium,48.7%,"Hash Table, Two Pointers, String, Sliding Window",Sliding Window,O(n+m),
76,Minimum Window Substring,Hard,47.4%,"Hash Table, String, Sliding Window",Sliding Window,O(n+m),
239,Sliding Window Maximum,Hard,48.7%,"Array, Queue, Sliding Window, Heap, Monotonic Queue",Monotonic Deque,O(n),
20,Valid Parentheses,Easy,44.1%,"String, Stack",Stack,O(n),
155,Min Stack,Medium,58.0%,"Stack, Design",Stack,O(1),
150,Evaluate Reverse Polish Notation,Medium,57.6%,"Array, Math, Stack",Stack,O(n),
739,Daily Temperatures,Medium,68.6%,"Array, Stack, Monotonic Stack",Monotonic Stack,O(n),
853,Car Fleet,Medium,55.0%,"Array, Stack, Sorting, Monotonic Stack",Monotonic Stack,O(n log n),
84,Largest Rectangle in Histogram,Hard,49.7%,"Array, Stack, Monotonic Stack",Monotonic Stack,O(n),
704,Binary Search,Easy,60.8%,"Array, Binary Search",Binary Search,O(log n),
74,Search a 2D Matrix,Medium,53.8%,"Array, Binary Search, Matrix",Binary Search,O(log(mn)),
875,Koko Eating Bananas,Medium,49.9%,"Array, Binary Search",Binary Search on Answer,O(n log m),
153,Find Minimum in Rotated Sorted Array,Medium,54.1%,"Array, Binary Search",Binary Search,O(log n),
33,Search in Rotated Sorted Array,Medium,44.4%,"Array, Binary Search",Binary Search,O(log n),
981,Time Based Key-Value Store,Medium,49.9%,"Hash Table, String, Binary Search, Design",Binary Search,O(log n),
4,Median of Two Sorted Arrays,Hard,46.4%,"Array, Binary Search, Divide and Conquer",Binary Search,"O(log(min(m,n)))",
206,Reverse Linked List,Easy,80.5%,"Linked List, Recursion",Linked List Reversal,O(n),
21,Merge Two Sorted Lists,Easy,68.2%,"Linked List, Recursion",Two Pointers,O(n+m),
141,Linked List Cycle,Easy,54.2%,"Hash Table, Linked List, Two Pointers",Floyd Cycle Detection,O(n),
143,Reorder List,Medium,65.1%,"Linked List, Two Pointers, Stack, Recursion",Fast/Slow Pointers + Linked List Reversal,O(n),
19,Remove Nth Node From End of List,Medium,51.4%,"Linked List, Two Pointers",Fast/Slow Pointers,O(n),
138,Copy List with Random Pointer,Medium,62.8%,"Hash Table, Linked List",Linked List Interleaving,O(n),
2,Add Two Numbers,Medium,48.3%,"Linked List, Math, Recursion",Digit Simulation,O(n+m),
287,Find the Duplicate Number,Medium,64.2%,"Array, Two Pointers, Binary Search, Bit Manipulation",Floyd Cycle Detection,O(n),
146,LRU Cache,Medium,47.2%,"Hash Table, Linked List, Design, Doubly-Linked List",Hash Map + Doubly Linked List,O(1),
23,Merge k Sorted Lists,Hard,59.4%,"Linked List, Divide and Conquer, Heap, Merge Sort",Divide and Conquer,O(n log m),
25,Reverse Nodes in k-Group,Hard,65.9%,"Linked List, Recursion",Linked List Reversal,O(n),
226,Invert Binary Tree,Easy,80.0%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",DFS,O(n),
104,Maximum Depth of Binary Tree,Easy,78.1%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",DFS,O(n),
543,Diameter of Binary Tree,Easy,65.4%,"Tree, Depth-First Search, Binary Tree",Postorder DFS,O(n),
110,Balanced Binary Tree,Easy,58.2%,"Tree, Depth-First Search, Binary Tree",Postorder DFS,O(n),
100,Same Tree,Easy,67.0%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",DFS,O(n+m),
572,Subtree of Another Tree,Easy,51.5%,"Tree, Depth-First Search, String Matching, Binary Tree",Tree Serialization + KMP,O(n+m),
235,Lowest Common Ancestor of a Binary Search Tree,Medium,70.5%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",BST Traversal,O(n),
102,Binary Tree Level Order Traversal,Medium,72.5%,"Tree, Breadth-First Search, Binary Tree",BFS,O(n),
199,Binary Tree Right Side View,Medium,70.0%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",DFS,O(n),
1448,Count Good Nodes in Binary Tree,Medium,73.8%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",DFS,O(n),
98,Validate Binary Search Tree,Medium,35.7%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",Morris Traversal,O(n),
230,Kth Smallest Element in a BST,Medium,76.7%,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",Morris Traversal,O(n),
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,68.7%,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",Divide and Conquer,O(n),
124,Binary Tree Maximum Path Sum,Hard,42.2%,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",Postorder DFS,O(n),
297,Serialize and Deserialize Binary Tree,Hard,60.6%,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",Tree Serialization,O(n),
703,Kth Largest Element in a Stream,Easy,60.9%,"Tree, Design, Binary Search Tree, Heap, Binary Tree, Data Stream",Heap,O(log n),
1046,Last Stone Weight,Easy,66.4%,"Array, Heap",Heap,O(n log n),
973,K Closest Points to Origin,Medium,68.9%,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap, Quickselect",Heap,O(n log m),
215,Kth Largest Element in an Array,Medium,68.9%,"Array, Divide and Conquer, Sorting, Heap, Quickselect",Quickselect,O(n),
621,Task Scheduler,Medium,63.0%,"Array, Hash Table, Greedy, Sorting, Heap, Counting",Greedy,O(n),
355,Design Twitter,Medium,44.5%,"Hash Table, Linked List, Design, Heap",K-Way Merge,O(n log n),
295,Find Median from Data Stream,Hard,54.4%,"Two Pointers, Design, Sorting, Heap, Data Stream",Two Heaps,O(log n),
78,Subsets,Medium,82.3%,"Array, Backtracking, Bit Manipulation",Backtracking,O(n * 2^n),
39,Combination Sum,Medium,76.4%,"Array, Backtracking",Backtracking,O(n^m),
40,Combination Sum II,Medium,59.3%,"Array, Backtracking, Sorting",Backtracking,O(n * 2^n),
46,Permutations,Medium,81.9%,"Array, Backtracking",Backtracking,O(n * n!),
90,Subsets II,Medium,61.2%,"Array, Backtracking, Bit Manipulation",Backtracking,O(n * 2^n),
22,Generate Parentheses,Medium,78.6%,"String, Dynamic Programming, Backtracking",Backtracking,O(4^n / sqrt(n)),
79,Word Search,Medium,47.2%,"Array, String, Backtracking, Depth-First Search, Matrix",Backtracking,O(n * 4^m),
131,Palindrome Partitioning,Medium,74.0%,"String, Dynamic Programming, Backtracking",Backtracking,O(n * 2^n),
17,Letter Combinations of a Phone Number,Medium,65.9%,"Hash Table, String, Backtracking",Backtracking,O(4^n),
51,N-Queens,Hard,75.4%,"Array, Backtracking",Backtracking,O(n!),
208,Implement Trie (Prefix Tree),Medium,69.4%,"Hash Table, String, Design, Trie",Trie,O(n),
211,Design Add and Search Words Data Structure,Medium,48.4%,"String, Depth-First Search, Design, Trie",Trie + DFS,O(26^n),
212,Word Search II,Hard,38.4%,"Array, String, Backtracking, Trie, Matrix",Trie + Backtracking,O(n * 4^m),
200,Number of Islands,Medium,64.2%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",Flood Fill,O(V+E),
695,Max Area of Island,Medium,73.9%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",Flood Fill,O(V+E),
133,Clone Graph,Medium,65.2%,"Hash Table, Depth-First Search, Breadth-First Search, Graph",DFS,O(V+E),
286,Walls and Gates,Medium,63.9%,"Array, Breadth-First Search, Matrix",Multi-Source BFS,O(V+E),
994,Rotting Oranges,Medium,58.5%,"Array, Breadth-First Search, Matrix",Multi-Source BFS,O(V+E),
417,Pacific Atlantic Water Flow,Medium,60.9%,"Array, Depth-First Search, Breadth-First Search, Matrix",DFS,O(V+E),
130,Surrounded Regions,Medium,45.2%,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",Flood Fill,O(V+E),
207,Course Schedule,Medium,51.3%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",Topological Sort,O(V+E),
210,Course Schedule II,Medium,55.4%,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",Topological Sort,O(V+E),
261,Graph Valid Tree,Medium,50.0%,"Depth-First Search, Breadth-First Search, Union Find, Graph",DFS,O(V+E),
323,Number of Connected Components in an Undirected Graph,Medium,64.9%,"Depth-First Search, Breadth-First Search, Union Find, Graph",DFS,O(V+E),
684,Redundant Connection,Medium,67.5%,"Depth-First Search, Breadth-First Search, Union Find, Graph",Union Find,O(E * α(V)),
127,Word Ladder,Hard,45.4%,"Hash Table, String, Breadth-First Search",Bidirectional BFS,O(V+E),
743,Network Delay Time,Medium,60.2%,"Depth-First Search, Breadth-First Search, Graph, Heap, Shortest Path",Dijkstra's Algorithm,O((V+E) log V),
332,Reconstruct Itinerary,Hard,44.5%,"Depth-First Search, Graph, Eulerian Circuit",Hierholzer's Algorithm,O(E log E),
1584,Min Cost to Connect All Points,Medium,70.8%,"Array, Union Find, Graph, Minimum Spanning Tree",Prim's Algorithm,O(V^2),
778,Swim in Rising Water,Hard,67.8%,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap, Matrix",Minimax Dijkstra,O((V+E) log V),
269,Alien Dictionary,Hard,37.2%,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort",Topological Sort,O(V+E),
787,Cheapest Flights Within K Stops,Medium,41.7%,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap, Shortest Path",Bellman-Ford,O(VE),
70,Climbing Stairs,Easy,54.0%,"Math, Dynamic Programming, Memoization",Rolling DP,O(n),
746,Min Cost Climbing Stairs,Easy,68.2%,"Array, Dynamic Programming",Rolling DP,O(n),
198,House Robber,Medium,53.2%,"Array, Dynamic Programming",Rolling DP,O(n),
213,House Robber II,Medium,44.8%,"Array, Dynamic Programming",Rolling DP,O(n),
5,Longest Palindromic Substring,Medium,37.7%,"Two Pointers, String, Dynamic Programming",Expand Around Center,O(n^2),
647,Palindromic Substrings,Medium,72.7%,"Two Pointers, String, Dynamic Programming",Expand Around Center,O(n^2),
91,Decode Ways,Medium,37.9%,"String, Dynamic Programming",Rolling DP,O(n),
322,Coin Change,Medium,48.3%,"Array, Dynamic Programming, Breadth-First Search",Unbounded Knapsack,O(nm),
152,Maximum Product Subarray,Medium,36.3%,"Array, Dynamic Programming",Dynamic Programming,O(n),
139,Word Break,Medium,49.4%,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",Dynamic Programming,O(n^2),
300,Longest Increasing Subsequence,Medium,59.3%,"Array, Binary Search, Dynamic Programming, Fenwick Tree, Segment Tree",Patience Sorting,O(n log n),
416,Partition Equal Subset Sum,Medium,49.4%,"Array, Dynamic Programming",0/1 Knapsack,O(nm),
62,Unique Paths,Medium,66.8%,"Math, Dynamic Programming, Combinatorics",Dynamic Programming,O(nm),
1143,Longest Common Subsequence,Medium,59.1%,"String, Dynamic Programming",2D Dynamic Programming,O(nm),
309,Best Time to Buy and Sell Stock with Cooldown,Medium,62.0%,"Array, Dynamic Programming",State Machine DP,O(n),
518,Coin Change II,Medium,60.1%,"Array, Dynamic Programming",Unbounded Knapsack,O(nm),
494,Target Sum,Medium,52.1%,"Array, Dynamic Programming, Backtracking",0/1 Knapsack,O(nm),
97,Interleaving String,Medium,43.9%,"String, Dynamic Programming",2D Dynamic Programming,O(nm),
329,Longest Increasing Path in a Matrix,Hard,56.5%,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Matrix, Memoization",DFS + Memoization,O(nm),
115,Distinct Subsequences,Hard,51.8%,"String, Dynamic Programming",2D Dynamic Programming,O(nm),
72,Edit Distance,Medium,60.5%,"String, Dynamic Programming",2D Dynamic Programming,O(nm),
312,Burst Balloons,Hard,63.3%,"Array, Dynamic Programming",Interval DP,O(n^3),
10,Regular Expression Matching,Hard,30.8%,"String, Dynamic Programming, Recursion",2D Dynamic Programming,O(nm),
53,Maximum Subarray,Medium,53.2%,"Array, Divide and Conquer, Dynamic Programming",Kadane's Algorithm,O(n),
55,Jump Game,Medium,40.8%,"Array, Dynamic Programming, Greedy",Greedy,O(n),
45,Jump Game II,Medium,42.8%,"Array, Dynamic Programming, Greedy",Greedy,O(n),
134,Gas Station,Medium,47.9%,"Array, Greedy",Greedy,O(n),
846,Hand of Straights,Medium,57.9%,"Array, Hash Table, Greedy, Sorting",Heap,O(n log n),
1899,Merge Triplets to Form Target Triplet,Medium,69.0%,"Array, Greedy",Greedy,O(n),
763,Partition Labels,Medium,81.9%,"Hash Table, Two Pointers, String, Greedy",Greedy,O(n),
678,Valid Parenthesis String,Medium,40.0%,"String, Dynamic Programming, Stack, Greedy",Greedy,O(n),
57,Insert Interval,Medium,45.1%,"Array, Intervals",Interval Merge,O(n),
56,Merge Intervals,Medium,51.7%,"Array, Sorting, Intervals",Interval Merge,O(n log n),
435,Non-overlapping Intervals,Medium,57.0%,"Array, Dynamic Programming, Greedy, Sorting, Intervals",Interval Scheduling,O(n log n),
252,Meeting Rooms,Easy,59.4%,"Array, Sorting, Intervals",Sorting,O(n log n),
253,Meeting Rooms II,Medium,52.6%,"Array, Two Pointers, Greedy, Sorting, Heap, Prefix Sum, Intervals",Sweep Line,O(n log n),
1851,Minimum Interval to Include Each Query,Hard,54.3%,"Array, Binary Search, Sorting, Heap, Line Sweep",Heap,O((n+m) log n),
48,Rotate Image,Medium,79.6%,"Array, Math, Matrix",Matrix Rotation,O(n^2),
54,Spiral Matrix,Medium,56.6%,"Array, Matrix, Simulation",Matrix Simulation,O(nm),
73,Set Matrix Zeroes,Medium,62.8%,"Array, Hash Table, Matrix",Matrix Marking,O(nm),
202,Happy Number,Easy,59.6%,"Hash Table, Math, Two Pointers",Floyd Cycle Detection,O(log n),
66,Plus One,Easy,49.9%,"Array, Math",Digit Simulation,O(n),
50,"Pow(x, n)",Medium,38.6%,"Math, Recursion",Binary Exponentiation,O(log n),
43,Multiply Strings,Medium,44.0%,"Math, String, Simulation",String Multiplication,O(nm),
2013,Detect Squares,Medium,52.5%,"Array, Hash Table, Design, Counting",Hash Map,O(n),
136,Single Number,Easy,77.6%,"Array, Bit Manipulation",XOR,O(n),
191,Number of 1 Bits,Easy,76.7%,"Divide and Conquer, Bit Manipulation",Brian Kernighan's Algorithm,O(1),
338,Counting Bits,Easy,80.5%,"Dynamic Programming, Bit Manipulation",Dynamic Programming,O(n),
190,Reverse Bits,Easy,68.2%,"Divide and Conquer, Bit Manipulation",Bit Manipulation,O(1),
268,Missing Number,Easy,71.9%,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",XOR,O(n),
371,Sum of Two Integers,Medium,55.4%,"Math, Bit Manipulation",Bit Manipulation,O(1),
7,Reverse Integer,Medium,31.8%,Math,Digit Manipulation,O(log n),
